Station,Code,Lat,Lon,Street,Number,Postal Code,City,Country
Halfweg-Zwanenburg,hwzb,52.385934999999996,4.747165,Oude Haarlemmerstraatweg,??,1165,Halfweg,Netherlands
Hardenberg,hdb,52.57277679,6.6286110879999995,Parallelweg,5-6,7772 SB,Hardenberg,Netherlands
Harderwijk,hd,52.33750153,5.619722366,Stationsplein,2,3844 KR,Harderwijk,Netherlands
Hardinxveld Blauwe Zoom,hbzm,51.829440000000005,4.81556,Schapedrift,99,3371 JJ,Hardinxveld-Giessendam,Netherlands
Hardinxveld-Giessendam,gnd,51.83055496,4.835833549,Spoorweg,30,3373 AP,Hardinxveld-Giessendam,Netherlands
Haren,hrn,53.17610931,6.617222309,Emdaborg,38,9751 SJ,Haren,Netherlands
Harlingen,hlg,53.1704205,5.4251932,Stationsweg,6B,8861 GA,Harlingen,Netherlands
Harlingen Haven,hlgh,53.174917,5.4112885,Hoge Willemskade,??,8861,Harlingen,Netherlands
Heemskerk,hk,52.4952774,4.686944485,Kadijk,47,1967,Heemskerk,Netherlands
Heemstede-Aerdenhout,had,52.35916519,4.606666565,Leidsevaartweg,??,2106,Heemstede,Netherlands
Heerenveen,hr,52.96138763,5.914166451,Beugel,24,8447,Heerenveen,Netherlands
Heerenveen IJsstadion,hry,52.93527603,5.943888664,Uraniumweg,2,8445 PH,Heerenveen,Netherlands
Heerhugowaard,hwd,52.66972351,4.822777748,Stationsplein,39,1703 WD,Heerhugowaard,Netherlands
Heerlen,hrl,50.89083481,5.974999905,Spoorsingel,65,6412 AA,Heerlen,Netherlands
Heerlen De Kissel,hrlk,50.89016893,5.9933424,Mijnspoorweg,??,6416,Heerlen,Netherlands
Heerlen Woonboulevard,hrlw,50.896667,5.952222,In de Cramer,88,6412,Heerlen,Netherlands
Heeze,hze,51.38499832,5.569444656,De Leuren,19,5591 ND,Heeze,Netherlands
Heiloo,hlo,52.59944534,4.700555325,Hoog en Laag,125,1852 AX,Heiloo,Netherlands
Heino,hno,52.42722321,6.221111297999999,Stationsweg,31,8141 SK,Heino,Netherlands
Helmond,hm,51.47555542,5.661944388999999,Stationsplein,7,5701 PE,Helmond,Netherlands
Helmond 't Hout,hmh,51.467940000000006,5.63085,Meester Stikkerplein,??,5707,Helmond,Netherlands
Helmond Brandevoort,hmbv,51.46222305,5.60722208,Diepenbroeksingel,??,5707,Helmond,Netherlands
Helmond Brouwhuis,hmbh,51.47068,5.70177,Deltaweg,185-447,5709,Helmond,Netherlands
Hemmen-Dodewaard,hmn,51.9222129,5.6737254,Boelenhamsestraat,8,6669 MN,Dodewaard,Netherlands
Hengelo,hgl,52.26166534,6.793889046,Stationsplein,321,7551 CN,Hengelo,Netherlands
Hengelo Gezondheidspark,hglg,52.261666999999996,6.773611,Magdalenalaan,8-9,7555 TA,Hengelo,Netherlands
Hengelo Oost,hglo,52.26889038,6.819444656,Zwavertsweg,114,7552 ML,Hengelo,Netherlands
Hillegom,hil,52.30250168,4.565555573,2e Loosterweg,2A,2182 CJ,Hillegom,Netherlands
Hilversum,hvs,52.22583389,5.18194437,Wilhelminastraat,1,1211 RH,Hilversum,Netherlands
Hilversum Media Park,hvsm,52.23805618,5.173888683,Mies Bouwman-boulevard,??,1217,Hilversum,Netherlands
Hilversum Sportpark,hvsp,52.21611023,5.187222004,Athene,??,1213,Hilversum,Netherlands
Hindeloopen,hnp,52.946490299999994,5.423063,Stationsweg,??,8713,Hindeloopen,Netherlands
Hoek van Holland Haven,hld,51.97527695,4.128889084,Stationsweg,1,3151 HR,Hoek van Holland,Netherlands
Hoek van Holland Strand,hlds,51.98166656,4.119722366,Stationsweg,86,3151 HS,Hoek van Holland,Netherlands
Hoensbroek,hb,50.90555573,5.930555344,Economiestraat,1,6433 KC,Hoensbroek,Netherlands
Hoevelaken,hvl,52.16652,5.45718,Rijksweg,??,3836,Stoutenburg-Noord,Netherlands
Hollandsche Rading,hor,52.17777634,5.1791667939999995,Vuurse Dreef,14,3739 KT,Hollandsche Rading,Netherlands
Holten,hon,52.28388977,6.420277596,Stationsstraat,10,7451 BH,Holten,Netherlands
Hoofddorp,hfd,52.29333496,4.700555325,R-Net,??,2132,Hoofddorp,Netherlands
Hoogeveen,hgv,52.73389053,6.473610878,Stationsplein,1A,7901 AA,Hoogeveen,Netherlands
Hoogezand-Sappemeer,hgz,53.15981813,6.77075386,Stationsweg,45,9601 BJ,Hoogezand,Netherlands
Hoogkarspel,hks,52.69055557,5.183888912,Stationslaan,14,1616 CM,Hoogkarspel,Netherlands
Hoorn,hn,52.64472198,5.055555344,Stationsplein,2R,1621 HX,Hoorn,Netherlands
Hoorn Kersenboogerd,hnk,52.65361023,5.085555553,Rijnweg,51-52,1628 PC,Hoorn,Netherlands
Horst-Sevenum,hrt,51.42638779,6.042222023,Industrieweg,20,5975 RL,Sevenum,Netherlands
Houten,htn,52.03402,5.16821,Kopermolen,??,3995,Houten,Netherlands
Houten Castellum,htnc,52.01701,5.17949,Castellumpad,??,3995,Houten,Netherlands
Houthem-St Gerlach,sgl,50.87333298,5.797222137,Meerssenderweg,10,6301 JH,Valkenburg,Netherlands
Hurdegaryp,hdg,53.2187783,5.934543,Stationsweg,39,9254 HA,Hurdegaryp,Netherlands
IJlst,ijt,53.014661399999994,5.6160801,Zuidwesthoekweg,4,8651 JB,IJlst,Netherlands
Kampen,kpn,52.55972289999999,5.921666622,Spoorkade,2,8267 AA,Kampen,Netherlands
Kampen Zuid,kpnz,52.5331,5.91309,Burgemeester Van Tuinenplein,??,8265,Kampen,Netherlands
Kapelle-Biezelinge,bzl,51.48083496,3.956111193,Stationsstraat,47-49,4421 AK,Kapelle,Netherlands
Kerkrade Centrum,krd,50.86166763,6.0574998860000004,Museumplein,2,6461 MA,Kerkrade,Netherlands
Kerkrade West,krw,50.85355,6.02578,Plein,37,6466 GG,Kerkrade,Netherlands
Kesteren,ktr,51.9313869,5.583346499999999,Stationsstraat,40,4041 CJ,Kesteren,Netherlands
Klarenbeek,kbk,52.17805481,6.083611012,Hoofdweg,8,7382 BH,Klarenbeek,Netherlands
Klimmen-Ransdaal,kmr,50.86639023,5.8905553820000005,Mareheiweg,2,6343 EK,Klimmen,Netherlands
Koog Bloemwijk,kbw,52.45861053,4.805555344,Provincialeweg,??,1541,Koog aan de Zaan,Netherlands
Koog-Zaandijk,kzd,52.46916579999999,4.804999828,Kogertunnel,??,1541,Koog aan de Zaan,Netherlands
Koudum-Molkwerum,kmw,52.9028197,5.4106913,Stationswei,22,8722 HB,Molkwerum,Netherlands
Krabbendijke,kbd,51.43333435,4.116944313,Spoorlaan,7,4413 AS,Krabbendijke,Netherlands
Krommenie-Assendelft,kma,52.49511,4.754169999999999,Saendelverlaan,2,1561 KS,Krommenie,Netherlands
Kropswolde,kw,53.16173620000001,6.7220882,Woldweg,46,9607 PR,Foxhol,Netherlands
Kruiningen-Yerseke,krg,51.46500015,4.037222385,Stationsweg,14-20,4416,Kruiningen,Netherlands
Lage Zwaluwe,zlw,51.69111252,4.66305542,Westelijke Parallelweg,11,4765 SK,Zevenbergschen Hoek,Netherlands
Landgraaf,lg,50.89638901,6.01916647,Stationsplein,65-66,6372,Landgraaf,Netherlands
Leerdam,ldm,51.89472198,5.091388702,Parallelweg,13,4143 LA,Leerdam,Netherlands
Leeuwarden,lw,53.19583511,5.792222023,Achter Het Station,1,8932,Leeuwarden,Netherlands
Leeuwarden Achter d Hoven,adh,53.198890000000006,5.81639,Spoorstraat,186,8933 CJ,Leeuwarden,Netherlands
Leeuwarden Camminghaburen,lwc,53.202180799999994,5.8422968,Orionweg,45,8938,Leeuwarden,Netherlands
Leiden Centraal,ledn,52.16611099,4.481666565,Stationsplein,3J,2312 AJ,Leiden,Netherlands
Leiden Lammenschans,ldl,52.14694595,4.492499828,Kamerlingh Onnesplein,4,2313 VL,Leiden,Netherlands
Lelystad Centrum,lls,52.50777817,5.472777842999999,Stationsplein,5,8232 DL,Lelystad,Netherlands
Lichtenvoorde-Groenlo,ltv,52.01188,6.5964100000000006,Stationsstraat,16,7137 MX,Lievelde,Netherlands
Lochem,lc,52.16666794,6.426388741,Stationsplein,1,7241 CV,Lochem,Netherlands
Loppersum,lp,53.334714500000004,6.7472625,Stationslaan,10,9919 AB,Loppersum,Netherlands
Lunteren,ltn,52.08527756,5.624444485,Spoorstraat,4,6741 DE,Lunteren,Netherlands
Maarheeze,mz,51.30376236,5.63034296,Den Engelsman,6,6026 RB,Maarheeze,Netherlands
Maarn,mrn,52.06416702,5.3699998860000004,Rijksweg,??,3951,Maarn,Netherlands
Maarssen,mas,52.13527679,5.033611298,Safariweg,34-36,3605,Maarssen,Netherlands
Maassluis,mss,51.91611099,4.254722118,Prinses Beatrixlaan,12,3143 LA,Maassluis,Netherlands
Maassluis West,msw,51.92583466,4.2361111639999995,Koningshoek,??,3144,Maassluis,Netherlands
Maastricht,mt,50.85027695,5.705555438999999,Stationsplein,29,6221 BT,Maastricht,Netherlands
Maastricht Noord,mtn,50.870870000000004,5.71774,Mariënwaard,44,6222 AN,Maastricht,Netherlands
Maastricht Randwyck,mtr,50.83861160000001,5.7172222139999995,Universiteitssingel,30,6229 ER,Maastricht,Netherlands
Mantgum,mg,53.1296368,5.7131996,Tsjeintgum,??,9022,Mantgum,Netherlands
Mariënberg,mrb,52.50944519,6.575277805,Stationsweg,2,7692 AC,Mariënberg,Netherlands
Martenshoek,mth,53.16072320000001,6.7402989,Spoorstraat-Zuid,36,9602 AA,Hoogezand,Netherlands
Meerssen,mes,50.88287939,5.750999451,Stationsplein,4,6231 CN,Meerssen,Netherlands
Meppel,mp,52.69083405,6.197500229,Leonard Springerlaan,4,7941 GW,Meppel,Netherlands
Middelburg,mdb,51.49472046,3.6172223089999997,Segeerssingel,64,4337 LH,Middelburg,Netherlands
Mook Molenhoek,mmlh,51.77158,5.88145,Lierdwarsweg,??,6584,Molenhoek,Netherlands
Naarden-Bussum,ndb,52.28027725,5.156944275,Parallelweg,11,1405 AE,Bussum,Netherlands
Nieuw Amsterdam,,52.71861267,6.848610878,Veilingstraat,41,7844 NX,Veenoord,Netherlands
Nieuw Vennep,nvp,52.25888824,4.645555496,Venneperweg,301,2153 MA,Nieuw-Vennep,Netherlands
Nieuwerkerk a/d IJssel,nwk,51.96527863,4.616944313,Oranjepad,2,2911 AP,Nieuwerkerk aan Den IJssel,Netherlands
Nijkerk,nkk,52.22222137,5.493888855,Willem Alexanderplein,16,3862 CE,Nijkerk,Netherlands
Nijmegen,nm,51.84361267,5.852222443,Tunnelweg,??,??,Nijmegen,Netherlands
